node_1|node_2|edge|chunk_id
chính sách phát triển thị trường lao động|người lao động cao tuổi|chính sách phát triển thị trường lao động bảo đảm bình đẳng giới; quy định chế độ lao động và chính sách xã hội nhằm bảo vệ lao động cao tuổi|afc85c47864340a0b905cfc1beecfffe
chính sách phát triển thị trường lao động|lao động chưa thành niên|chính sách phát triển thị trường lao động bảo đảm bình đẳng giới; quy định chế độ lao động và chính sách xã hội nhằm bảo vệ lao động chưa thành niên|afc85c47864340a0b905cfc1beecfffe
người lao động|quyền|possesses|b4f6da7d0d364fd09d08b06e657b2385
người lao động|nghĩa vụ|should fulfill|b4f6da7d0d364fd09d08b06e657b2385
quyền|làm việc|includes|b4f6da7d0d364fd09d08b06e657b2385
quyền|tự do lựa chọn việc làm|includes|b4f6da7d0d364fd09d08b06e657b2385
quyền|nghỉ theo chế độ|includes|b4f6da7d0d364fd09d08b06e657b2385
quyền|được bảo hộ lao động|includes|b4f6da7d0d364fd09d08b06e657b2385
quyền|tham gia đối thoại|includes|b4f6da7d0d364fd09d08b06e657b2385
nghĩa vụ|thực hiện hợp đồng lao động|should fulfill|b4f6da7d0d364fd09d08b06e657b2385
nghĩa vụ|tuân thủ nội quy lao động|should fulfill|b4f6da7d0d364fd09d08b06e657b2385
nghĩa vụ|thực hiện quy định của pháp luật về lao động|should fulfill|b4f6da7d0d364fd09d08b06e657b2385
nghĩa vụ|đào tạo, đào tạo lại, bồi dưỡng nâng cao trình độ|should fulfill|b4f6da7d0d364fd09d08b06e657b2385
quan hệ lao động|đối thoại, thương lượng, thỏa thuận|quan hệ lao động được xác lập qua đối thoại, thương lượng, thỏa thuận|5efdab15bc174bfeaf15d9cee261b27c
quan hệ lao động|nguyên tắc tự nguyện, thiện chí, bình đẳng, hợp tác, tôn trọng quyền và lợi ích hợp pháp|quan hệ lao động được xác lập theo nguyên tắc tự nguyện, thiện chí, bình đẳng, hợp tác, tôn trọng quyền và lợi ích hợp pháp|5efdab15bc174bfeaf15d9cee261b27c
người sử dụng lao động|tổ chức đại diện người sử dụng lao động|người sử dụng lao động và tổ chức đại diện người sử dụng lao động xây dựng quan hệ lao động|5efdab15bc174bfeaf15d9cee261b27c
người lao động|tổ chức đại diện người lao động|người lao động và tổ chức đại diện người lao động xây dựng quan hệ lao động|5efdab15bc174bfeaf15d9cee261b27c
công đoàn|cơ quan nhà nước có thẩm quyền|công đoàn tham gia cùng với cơ quan nhà nước có thẩm quyền hỗ trợ xây dựng quan hệ lao động|5efdab15bc174bfeaf15d9cee261b27c
công đoàn|việc thi hành quy định của pháp luật về lao động|công đoàn giám sát việc thi hành quy định của pháp luật về lao động|5efdab15bc174bfeaf15d9cee261b27c
công đoàn|bảo vệ quyền và lợi ích hợp pháp, chính đáng của người lao động|công đoàn bảo vệ quyền và lợi ích hợp pháp, chính đáng của người lao động|5efdab15bc174bfeaf15d9cee261b27c
phòng thương mại và công nghiệp việt nam|liên minh hợp tác xã việt nam|phòng thương mại và công nghiệp việt nam, liên minh hợp tác xã việt nam và các tổ chức đại diện của người sử dụng lao động khác tham gia xây dựng quan hệ lao động|5efdab15bc174bfeaf15d9cee261b27c
hành vi|nghiêm cấm|nghiêm cấm là một hành vi bị nghiêm cấm trong lĩnh vực lao động|2d2a76a0dac04acea13e88414e66df35
phân biệt đối xử|lao động|phân biệt đối xử trong lao động|2d2a76a0dac04acea13e88414e66df35
người lao động|ngược đãi|Người lao động bị ngược đãi|fdf8d76911c04c82bece5ec8c929fa4a
người lao động|cưỡng bức lao động|Người lao động bị cưỡng bức|fdf8d76911c04c82bece5ec8c929fa4a
quấy rối tình dục|nơi làm việc|Quấy rối tình dục tại nơi làm việc|fdf8d76911c04c82bece5ec8c929fa4a
danh nghĩa dạy nghề|lợi dụng|danh nghĩa dạy nghề được lợi dụng để trục lợi, bóc lột sức lao động hoặc lôi kéo, dụ dỗ, ép buộc người học nghề|52eaea715e7341b9b89b96c0c87c735c
danh nghĩa dạy nghề|người học nghề|danh nghĩa dạy nghề được lợi dụng để ép buộc người học nghề vào hoạt động trái pháp luật|52eaea715e7341b9b89b96c0c87c735c
người tập nghề|hoạt động trái pháp luật|người tập nghề bị ép buộc vào hoạt động trái pháp luật|52eaea715e7341b9b89b96c0c87c735c
lao động|đào tạo|lao động chưa qua đào tạo|c5724426dc1f44c58963583b1205f8ed
lao động|chứng chỉ kỹ năng nghề quốc gia|lao động chưa có chứng chỉ kỹ năng nghề quốc gia|c5724426dc1f44c58963583b1205f8ed
lôi kéo|lừa gạt người lao động|lôi kéo, dụ dỗ, hứa hẹn, quảng cáo gian dối hoặc thủ đoạn khác để lừa gạt người lao động|c5724426dc1f44c58963583b1205f8ed
tuyển dụng|mua bán người|tuyển dụng người lao động với mục đích mua bán người|c5724426dc1f44c58963583b1205f8ed
tuyển dụng|bóc lột|tuyển dụng người lao động với mục đích bóc lột|c5724426dc1f44c58963583b1205f8ed
tuyển dụng|cưỡng bức lao động|tuyển dụng người lao động với mục cưỡng bức lao động|c5724426dc1f44c58963583b1205f8ed
tuyển dụng|lợi dụng dịch vụ việc làm|tuyển dụng người lao động để lợi dụng dịch vụ việc làm|c5724426dc1f44c58963583b1205f8ed
tuyển dụng|hoạt động đưa người lao động đi làm việc ở nước ngoài theo hợp đồng|tuyển dụng người lao động để đưa đi làm việc ở nước ngoài theo hợp đồng|c5724426dc1f44c58963583b1205f8ed
việc làm|lao động chưa thành niên|violation of law|1a160f838efe4bcf85b8948726f4de0c
việc làm|thu nhập|created by labor activity|1a160f838efe4bcf85b8948726f4de0c
việc làm|người sử dụng lao động|responsibility to resolve employment|1a160f838efe4bcf85b8948726f4de0c
việc làm|khả năng lao động|opportunity for employment|1a160f838efe4bcf85b8948726f4de0c
người lao động|quyền làm việc|freedom to choose employment|1a160f838efe4bcf85b8948726f4de0c
người lao động|người sử dụng lao động|directly contact or through employment service organization|1a160f838efe4bcf85b8948726f4de0c
người lao động|tổ chức dịch vụ việc làm|search for employment|1a160f838efe4bcf85b8948726f4de0c
người sử dụng lao động|tổ chức dịch vụ việc làm|người sử dụng lao động có quyền tuyển dụng lao động thông qua tổ chức dịch vụ việc làm|613a16e142e84052a53336b21644f6cf
người sử dụng lao động|doanh nghiệp hoạt động cho thuê lại lao động|người sử dụng lao động có quyền tuyển dụng lao động thông qua doanh nghiệp hoạt động cho thuê lại lao động|613a16e142e84052a53336b21644f6cf
tổ chức dịch vụ việc làm|tuyển dụng lao động|tổ chức dịch vụ việc làm có thể tuyển dụng lao động theo nhu cầu của người sử dụng lao động|613a16e142e84052a53336b21644f6cf
doanh nghiệp hoạt động cho thuê lại lao động|tuyển dụng lao động|doanh nghiệp hoạt động cho thuê lại lao động có thể tuyển dụng lao động theo nhu cầu của người sử dụng lao động|613a16e142e84052a53336b21644f6cf
người lao động|chi phí|laborers do not have to pay recruitment costs|2fb5642028d349979d5225b0b45f473f
lao động|tuyển dụng|recruitment of labor|2fb5642028d349979d5225b0b45f473f
người sử dụng lao động|sổ quản lý lao động|người sử dụng lao động phải lập, cập nhật, quản lý, sử dụng sổ quản lý lao động bằng bản giấy hoặc bản điện tử và xuất trình khi cơ quan nhà nước có thẩm quyền yêu cầu.|ae80d19358774837bdde6af967851d27
việc sử dụng lao động|thời hạn|việc sử dụng lao động cần được khai trình trong thời hạn 30 ngày kể từ ngày bắt đầu hoạt động.|ae80d19358774837bdde6af967851d27
việc sử dụng lao động|tình hình thay đổi về lao động|phải định kỳ báo cáo tình hình thay đổi về lao động trong quá trình hoạt động với cơ quan chuyên môn về lao động thuộc Ủy ban nhân dân cấp tỉnh và thông báo cho cơ quan bảo hiểm xã hội.|ae80d19358774837bdde6af967851d27
chính phủ|quy định|Chính phủ quy định chi tiết Điều này.|5b1a178acd604523b0be8c2212b8150e
chính phủ|điều này|Chính phủ quy định chi tiết Điều này.|5b1a178acd604523b0be8c2212b8150e
chính phủ|hợp đồng lao động|Chính phủ quy định chi tiết Điều này. Chương III HỢP ĐỒNG LAO ĐỘNG|5b1a178acd604523b0be8c2212b8150e
quy định|điều này|Chính phủ quy định chi tiết Điều này.|5b1a178acd604523b0be8c2212b8150e
điều này|chương iii|Chính phủ quy định chi tiết Điều này. Chương III HỢP ĐỒNG LAO ĐỘNG|5b1a178acd604523b0be8c2212b8150e
điều 13|giao kết hợp đồng lao động|Mục 1 GIAO KẾT HỢP ĐỒNG LAO ĐỘNG Điều 13.|5b1a178acd604523b0be8c2212b8150e
hợp đồng lao động|người lao động|Hợp đồng lao động là sự thỏa thuận giữa người lao động và người sử dụng lao động về việc làm có trả công, tiền lương, điều kiện lao động, quyền và nghĩa vụ của mỗi bên trong quan hệ lao động.|e99ace8c9a87496e8769c88c683f1798
hợp đồng lao động|người sử dụng lao động|Hợp đồng lao động là sự thỏa thuận giữa người lao động và người sử dụng lao động về việc làm có trả công, tiền lương, điều kiện lao động, quyền và nghĩa vụ của mỗi bên trong quan hệ lao động.|e99ace8c9a87496e8769c88c683f1798
người sử dụng lao động|người lao động|phải giao kết hợp đồng lao động với|e58e5461cfa04e5ab9b287cd6d5b1d71
hợp đồng lao động|văn bản|phải được giao kết bằng|e58e5461cfa04e5ab9b287cd6d5b1d71
hợp đồng lao động|02 bản|được làm thành|e58e5461cfa04e5ab9b287cd6d5b1d71
người lao động|01 bản|giữ|e58e5461cfa04e5ab9b287cd6d5b1d71
người sử dụng lao động|01 bản|giữ|e58e5461cfa04e5ab9b287cd6d5b1d71
hợp đồng lao động|phương tiện điện tử|được giao kết thông qua|e58e5461cfa04e5ab9b287cd6d5b1d71
phương tiện điện tử|thông điệp dữ liệu|dưới hình thức|e58e5461cfa04e5ab9b287cd6d5b1d71
giao kết hợp đồng lao động|tự nguyện|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
giao kết hợp đồng lao động|bình đẳng|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
giao kết hợp đồng lao động|thiện chí|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
giao kết hợp đồng lao động|hợp tác|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
giao kết hợp đồng lao động|trung thực|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
giao kết hợp đồng lao động|tự do|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
giao kết hợp đồng lao động|trái pháp luật|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
giao kết hợp đồng lao động|thỏa ước lao động tập thể|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
giao kết hợp đồng lao động|đạo đức xã hội|nguyên tắc của việc giao kết hợp đồng lao động|d74c91274a4a4695b4d084a8b9b7c37f
người sử dụng lao động|thông tin|phải cung cấp thông tin trung thực cho người lao động|3b271d169beb48ae842f0e350aa07be9
thông tin|người lao động|phải cung cấp thông tin trung thực cho người sử dụng lao động|3b271d169beb48ae842f0e350aa07be9
người sử dụng lao động|hợp đồng lao động|khi giao kết, thực hiện hợp đồng lao động|3b271d169beb48ae842f0e350aa07be9
người lao động|hợp đồng lao động|khi giao kết, thực hiện hợp đồng lao động|3b271d169beb48ae842f0e350aa07be9
người được ủy quyền giao kết hợp đồng lao động|người khác|ủy quyền lại|6c0bfc363fd54c1599f333da4b5f7c62
người lao động|hợp đồng lao động|giao kết|6c0bfc363fd54c1599f333da4b5f7c62
người lao động|người sử dụng lao động|giao kết|6c0bfc363fd54c1599f333da4b5f7c62
người lao động|bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp và an toàn, vệ sinh lao động|thực hiện theo quy định của pháp luật|6c0bfc363fd54c1599f333da4b5f7c62
hợp đồng lao động|thời hạn|Hợp đồng lao động phải được giao kết theo một trong các loại sau đây, trong đó có hợp đồng lao động không xác định thời hạn và hợp đồng lao động xác định thời hạn|7cdcb70e740a490bb5ebf03f04b5ee0d
hợp đồng lao động|người lao động|Khi hợp đồng lao động quy định tại điểm b khoản 1 Điều này hết hạn mà người lao động vẫn tiếp tục làm việc|7cdcb70e740a490bb5ebf03f04b5ee0d
hợp đồng lao động|hợp đồng lao động mới|Trong thời hạn 30 ngày kể từ ngày hợp đồng lao động hết hạn, hai bên phải ký kết hợp đồng lao động mới|7cdcb70e740a490bb5ebf03f04b5ee0d
hợp đồng lao động|người sử dụng lao động|Hợp đồng lao động chứa thông tin về tên, địa chỉ của người sử dụng lao động và họ tên, chức danh của người giao kết hợp đồng lao động bên phía người sử dụng lao động|c4cbdcc3f50342b9b1c6887d84cd3041
hợp đồng lao động|người lao động|Hợp đồng lao động chứa thông tin về họ tên, ngày tháng năm sinh, giới tính, nơi cư trú, số thẻ Căn cước công dân, Chứng minh nhân dân hoặc hộ chiếu của người giao kết hợp đồng lao động bên phía người lao động|c4cbdcc3f50342b9b1c6887d84cd3041
hợp đồng lao động|công việc|Hợp đồng lao động ghi rõ công việc và địa điểm làm việc|c4cbdcc3f50342b9b1c6887d84cd3041
hợp đồng lao động|thời hạn|Hợp đồng lao động ghi rõ thời hạn của hợp đồng lao động|c4cbdcc3f50342b9b1c6887d84cd3041
hợp đồng lao động|mức lương|Hợp đồng lao động ghi rõ mức lương theo công việc hoặc chức danh, hình thức trả lương, thời hạn trả lương, phụ cấp lương và các khoản bổ sung khác|c4cbdcc3f50342b9b1c6887d84cd3041
hợp đồng lao động|thời giờ làm việc|Hợp đồng lao động ghi rõ thời giờ làm việc, thời giờ nghỉ ngơi|c4cbdcc3f50342b9b1c6887d84cd3041
hợp đồng lao động|bảo hiểm|Hợp đồng lao động bao gồm thông tin về bảo hiểm xã hội, bảo hiểm y tế và bảo hiểm thất nghiệp|c4cbdcc3f50342b9b1c6887d84cd3041
hợp đồng lao động|đào tạo|Hợp đồng lao động ghi rõ thông tin về đào tạo, bồi dưỡng, nâng cao trình độ, kỹ năng nghề|c4cbdcc3f50342b9b1c6887d84cd3041
người sử dụng lao động|người lao động|Người sử dụng lao động và người lao động là hai bên tham gia ký kết hợp đồng lao động|c4cbdcc3f50342b9b1c6887d84cd3041
người lao động|bí mật kinh doanh|Khi người lao động làm việc có liên quan trực tiếp đến bí mật kinh doanh, người sử dụng lao động có quyền thỏa thuận bằng văn bản về nội dung, thời hạn bảo vệ bí mật kinh doanh|c4cbdcc3f50342b9b1c6887d84cd3041
người lao động|bí mật công nghệ|Khi người lao động làm việc có liên quan trực tiếp đến bí mật công nghệ, người sử dụng lao động có quyền thỏa thuận bằng văn bản về nội dung, thời hạn bảo vệ bí mật công nghệ, quyền lợi và việc bồi thường trong trường hợp vi phạm|c4cbdcc3f50342b9b1c6887d84cd3041
người lao động|nông nghiệp|Đối với người lao động làm việc trong lĩnh vực nông nghiệp, lâm nghiệp, ngư nghiệp, diêm nghiệp, có thể giảm một số nội dung chủ yếu của hợp đồng lao động và thỏa thuận bổ sung nội dung về phương thức giải quyết trong trường hợp thực hiện hợp đồng chịu ảnh hưởng của thiên tai, hỏa hoạn, thời tiết|c4cbdcc3f50342b9b1c6887d84cd3041
chính phủ|hợp đồng lao động|Chính phủ quy định nội dung của hợp đồng lao động|ba57c9ff228045c791b8e3c26c12e357
hợp đồng lao động|người lao động|hợp đồng lao động đối với người lao động được thuê|ba57c9ff228045c791b8e3c26c12e357
người lao động|giám đốc|người lao động được thuê làm giám đốc|ba57c9ff228045c791b8e3c26c12e357
doanh nghiệp|vốn nhà nước|doanh nghiệp có vốn nhà nước|ba57c9ff228045c791b8e3c26c12e357
bộ trưởng|bộ lao động - thương binh và xã hội|is a part of|5fca5ab3f954498b9ab06d5140e0c93d
bộ trưởng|quy định|defines|5fca5ab3f954498b9ab06d5140e0c93d
bộ lao động - thương binh và xã hội|quy định|is governed by|5fca5ab3f954498b9ab06d5140e0c93d
phụ lục hợp đồng lao động|hợp đồng lao động|Phụ lục hợp đồng lao động là bộ phận của hợp đồng lao động và có hiệu lực như hợp đồng lao động.|055e3db536b04380bf939cf3c8247a2c
